HJD(2400000+)	&	Error	&	Min	&	E	&	O-C	&	Ref	&	HJD(2400000+)	&	Error	&	Min	&	E	&	O-C	&	Ref
53917.42310 	&	0.00160 	&	S	&	-5500.5	&	0.003671 	&	(4)	&	58980.24482 	&	0.00015 	&	S	&	7799.5	&	0.032233 	&	(28)
54197.40220 	&	0.00120 	&	P	&	-4765	&	0.006502 	&	(5)	&	58980.43413 	&	0.00011 	&	P	&	7800	&	0.031213 	&	(28)
54587.19440 	&		&	P	&	-3741	&	0.001695 	&	(6)	&	58980.62547 	&	0.00016 	&	S	&	7800.5	&	0.032222 	&	(28)
54684.45280 	&	0.00070 	&	S	&	-3485.5	&	0.001173 	&	(7)	&	58980.81487 	&	0.00013 	&	P	&	7801	&	0.031292 	&	(28)
54932.45350 	&	0.00050 	&	P	&	-2834	&	0.001141 	&	(8)	&	58981.00630 	&	0.00014 	&	S	&	7801.5	&	0.032391 	&	(28)
54945.77620 	&	0.00020 	&	P	&	-2799	&	0.000701 	&	(9)	&	58981.19555 	&	0.00013 	&	P	&	7802	&	0.031310 	&	(28)
54955.86380 	&	0.00040 	&	S	&	-2772.5	&	0.000781 	&	(10)	&	58981.38692 	&	0.00016 	&	S	&	7802.5	&	0.032350 	&	(28)
54968.42610 	&	0.00030 	&	S	&	-2739.5	&	0.001263 	&	(11)	&	58981.57604 	&	0.00012 	&	P	&	7803	&	0.031139 	&	(28)
55038.46750 	&	0.00070 	&	S	&	-2555.5	&	0.001013 	&	(12)	&	58981.76768 	&	0.00017 	&	S	&	7803.5	&	0.032449 	&	(28)
55067.39770 	&	0.00020 	&	S	&	-2479.5	&	0.000967 	&	(11)	&	58981.95677 	&	0.00012 	&	P	&	7804	&	0.031208 	&	(28)
55296.74430 	&	0.00020 	&	P	&	-1877	&	-0.000770 &	(13)	&	58982.14844 	&	0.00014 	&	S	&	7804.5	&	0.032548 	&	(28)
55657.99400 	&		&	P	&	-928	&	0.001508 	&	(14)	&	58983.67144 	&	0.00022 	&	S	&	7808.5	&	0.032903 	&	(28)
55658.18310 	&		&	S	&	-927.5	&	0.000277 	&	(14)	&	58983.85991 	&	0.00013 	&	P	&	7809	&	0.031042 	&	(28)
55660.84570 	&	0.00070 	&	S	&	-920.5	&	-0.001751 &	(15)	&	58984.05201 	&	0.00015 	&	S	&	7809.5	&	0.032812 	&	(28)
56011.24568 	&		&	P	&	0	&	-0.000350 &	(16)	&	58984.24064 	&	0.00014 	&	P	&	7810	&	0.031111 	&	(28)
56012.19800 	&		&	S	&	2.5	&	0.000317 	&	(16)	&	58984.43257 	&	0.00014 	&	S	&	7810.5	&	0.032711 	&	(28)
56018.09820 	&		&	P	&	18	&	0.000269 	&	(17)	&	58984.62134 	&	0.00011 	&	P	&	7811	&	0.031150 	&	(28)
56018.28820 	&		&	S	&	18.5	&	-0.000061 &	(17)	&	58984.81305 	&	0.00016 	&	S	&	7811.5	&	0.032530 	&	(28)
56032.18187 	&		&	P	&	55	&	-0.000523 &	(16)	&	58985.00194 	&	0.00013 	&	P	&	7812	&	0.031089 	&	(28)
56038.84600 	&	0.00030 	&	S	&	72.5	&	0.002037 	&	(18)	&	58985.19370 	&	0.00016 	&	S	&	7812.5	&	0.032518 	&	(28)
56048.17021 	&		&	P	&	97	&	0.000049 	&	(16)	&	58985.38268 	&	0.00013 	&	P	&	7813	&	0.031168 	&	(28)
56376.30127 	&		&	P	&	959	&	0.001207 	&	(16)	&	58985.57439 	&	0.00015 	&	S	&	7813.5	&	0.032547 	&	(28)
56384.29490 	&		&	P	&	980	&	0.000953 	&	(16)	&	58985.76321 	&	0.00013 	&	P	&	7814	&	0.031037 	&	(28)
56387.33931 	&		&	P	&	988	&	0.000074 	&	(16)	&	58985.95480 	&	0.00015 	&	S	&	7814.5	&	0.032296 	&	(28)
56390.76560 	&	0.00030 	&	P	&	997	&	0.000413 	&	(19)	&	58986.14392 	&	0.00013 	&	P	&	7815	&	0.031085 	&	(28)
56409.41860 	&	0.00030 	&	P	&	1046	&	0.001018 	&	(20)	&	58986.33544 	&	0.00014 	&	S	&	7815.5	&	0.032275 	&	(28)
56746.30199 	&		&	P	&	1931	&	-0.000701 &	(16)	&	58986.52447 	&	0.00013 	&	P	&	7816	&	0.030974 	&	(28)
56764.57890 	&	0.00030 	&	P	&	1979	&	0.004474 	&	(21)	&	58986.71610 	&	0.00017 	&	S	&	7816.5	&	0.032274 	&	(28)
57097.84850 	&	0.00030 	&	S	&	2854.5	&	0.005246 	&	(22)	&	58986.90520 	&	0.00013 	&	P	&	7817	&	0.031043 	&	(28)
57125.44660 	&	0.00160 	&	P	&	2927	&	0.005413 	&	(23)	&	58987.09681 	&	0.00015 	&	S	&	7817.5	&	0.032323 	&	(28)
57133.44090 	&	0.00220 	&	P	&	2948	&	0.005829 	&	(23)	&	58987.28601 	&	0.00013 	&	P	&	7818	&	0.031192 	&	(28)
57441.96860 	&	0.00020 	&	S	&	3758.5	&	0.007675 	&	(24)	&	58987.47740 	&	0.00016 	&	S	&	7818.5	&	0.032251 	&	(28)
57879.35360 	&		&	S	&	4907.5	&	0.013025 	&	(25)	&	58987.66660 	&	0.00014 	&	P	&	7819	&	0.031121 	&	(28)
57883.34800 	&		&	P	&	4918	&	0.010483 	&	(25)	&	58987.85805 	&	0.00015 	&	S	&	7819.5	&	0.032240 	&	(28)
58228.42770 	&	0.00110 	&	S	&	5824.5	&	0.020860 	&	(26)	&	58988.04750 	&	0.00014 	&	P	&	7820	&	0.031360 	&	(28)
58951.50280 	&	0.00070 	&	P	&	7724	&	0.030125 	&	(27)	&	58988.23857 	&	0.00015 	&	S	&	7820.5	&	0.032099 	&	(28)
58955.88241 	&	0.00015 	&	S	&	7735.5	&	0.032127 	&	(28)	&	58988.42804 	&	0.00013 	&	P	&	7821	&	0.031239 	&	(28)
58956.07116 	&	0.00012 	&	P	&	7736	&	0.030546 	&	(28)	&	58988.61929 	&	0.00016 	&	S	&	7821.5	&	0.032158 	&	(28)
58956.26307 	&	0.00015 	&	S	&	7736.5	&	0.032126 	&	(28)	&	58988.80891 	&	0.00015 	&	P	&	7822	&	0.031447 	&	(28)
58956.45201 	&	0.00012 	&	P	&	7737	&	0.030735 	&	(28)	&	58989.00017 	&	0.00016 	&	S	&	7822.5	&	0.032377 	&	(28)
58956.64356 	&	0.00016 	&	S	&	7737.5	&	0.031955 	&	(28)	&	58989.18972 	&	0.00013 	&	P	&	7823	&	0.031596 	&	(28)
58956.83253 	&	0.00012 	&	P	&	7738	&	0.030594 	&	(28)	&	58989.38072 	&	0.00015 	&	S	&	7823.5	&	0.032266 	&	(28)
58957.02415 	&	0.00016 	&	S	&	7738.5	&	0.031883 	&	(28)	&	58989.57029 	&	0.00014 	&	P	&	7824	&	0.031505 	&	(28)
58957.21318 	&	0.00012 	&	P	&	7739	&	0.030583 	&	(28)	&	58989.76136 	&	0.00016 	&	S	&	7824.5	&	0.032245 	&	(28)
58957.40481 	&	0.00016 	&	S	&	7739.5	&	0.031882 	&	(28)	&	58989.95101 	&	0.00013 	&	P	&	7825	&	0.031564 	&	(28)
58957.59398 	&	0.00012 	&	P	&	7740	&	0.030722 	&	(28)	&	58990.14188 	&	0.00015 	&	S	&	7825.5	&	0.032103 	&	(28)
58957.78562 	&	0.00015 	&	S	&	7740.5	&	0.032031 	&	(28)	&	58990.33164 	&	0.00012 	&	P	&	7826	&	0.031533 	&	(28)
58957.97451 	&	0.00013 	&	P	&	7741	&	0.030591 	&	(28)	&	58990.52263 	&	0.00015 	&	S	&	7826.5	&	0.032192 	&	(28)
58958.16620 	&	0.00015 	&	S	&	7741.5	&	0.031950 	&	(28)	&	58990.71240 	&	0.00013 	&	P	&	7827	&	0.031632 	&	(28)
58958.35521 	&	0.00013 	&	P	&	7742	&	0.030629 	&	(28)	&	58990.90327 	&	0.00016 	&	S	&	7827.5	&	0.032171 	&	(28)
58958.54674 	&	0.00016 	&	S	&	7742.5	&	0.031829 	&	(28)	&	58991.09288 	&	0.00015 	&	P	&	7828	&	0.031451 	&	(28)
58958.73600 	&	0.00010 	&	P	&	7743	&	0.030758 	&	(28)	&	58991.28391 	&	0.00016 	&	S	&	7828.5	&	0.032150 	&	(28)
58958.92738 	&	0.00016 	&	S	&	7743.5	&	0.031808 	&	(28)	&	58991.47353 	&	0.00012 	&	P	&	7829	&	0.031439 	&	(28)
58959.11669 	&	0.00012 	&	P	&	7744	&	0.030787 	&	(28)	&	58991.66472 	&	0.00016 	&	S	&	7829.5	&	0.032299 	&	(28)
58959.30804 	&	0.00015 	&	S	&	7744.5	&	0.031807 	&	(28)	&	58991.85441 	&	0.00012 	&	P	&	7830	&	0.031658 	&	(28)
58959.49731 	&	0.00012 	&	P	&	7745	&	0.030746 	&	(28)	&	58992.04523 	&	0.00016 	&	S	&	7830.5	&	0.032148 	&	(28)
58959.68861 	&	0.00015 	&	S	&	7745.5	&	0.031715 	&	(28)	&	58992.23509 	&	0.00012 	&	P	&	7831	&	0.031677 	&	(28)
58959.87798 	&	0.00012 	&	P	&	7746	&	0.030755 	&	(28)	&	58992.42584 	&	0.00016 	&	S	&	7831.5	&	0.032096 	&	(28)
58960.06923 	&	0.00016 	&	S	&	7746.5	&	0.031674 	&	(28)	&	58992.61572 	&	0.00013 	&	P	&	7832	&	0.031646 	&	(28)
58960.25857 	&	0.00012 	&	P	&	7747	&	0.030684 	&	(28)	&	58992.80654 	&	0.00016 	&	S	&	7832.5	&	0.032135 	&	(28)
58960.45022 	&	0.00016 	&	S	&	7747.5	&	0.032003 	&	(28)	&	58992.99645 	&	0.00013 	&	P	&	7833	&	0.031715 	&	(28)
58960.63926 	&	0.00012 	&	P	&	7748	&	0.030713 	&	(28)	&	58993.18708 	&	0.00016 	&	S	&	7833.5	&	0.032014 	&	(28)
58960.83067 	&	0.00016 	&	S	&	7748.5	&	0.031792 	&	(28)	&	58993.37701 	&	0.00012 	&	P	&	7834	&	0.031614 	&	(28)
58961.01988 	&	0.00011 	&	P	&	7749	&	0.030671 	&	(28)	&	58993.56775 	&	0.00018 	&	S	&	7834.5	&	0.032023 	&	(28)
58961.21144 	&	0.00015 	&	S	&	7749.5	&	0.031901 	&	(28)	&	58993.75758 	&	0.00013 	&	P	&	7835	&	0.031522 	&	(28)
58961.40060 	&	0.00012 	&	P	&	7750	&	0.030730 	&	(28)	&	58993.94868 	&	0.00015 	&	S	&	7835.5	&	0.032292 	&	(28)
58961.59216 	&	0.00015 	&	S	&	7750.5	&	0.031960 	&	(28)	&	58994.13853 	&	0.00012 	&	P	&	7836	&	0.031811 	&	(28)
58961.78129 	&	0.00013 	&	P	&	7751	&	0.030759 	&	(28)	&	58994.32941 	&	0.00018 	&	S	&	7836.5	&	0.032361 	&	(28)
58961.97269 	&	0.00015 	&	S	&	7751.5	&	0.031829 	&	(28)	&	58994.51921 	&	0.00012 	&	P	&	7837	&	0.031830 	&	(28)
58962.16188 	&	0.00012 	&	P	&	7752	&	0.030688 	&	(28)	&	58994.71013 	&	0.00015 	&	S	&	7837.5	&	0.032420 	&	(28)
58962.35330 	&	0.00015 	&	S	&	7752.5	&	0.031777 	&	(28)	&	58994.89998 	&	0.00012 	&	P	&	7838	&	0.031939 	&	(28)
58962.54269 	&	0.00011 	&	P	&	7753	&	0.030837 	&	(28)	&	58995.09055 	&	0.00016 	&	S	&	7838.5	&	0.032178 	&	(28)
58962.73390 	&	0.00016 	&	S	&	7753.5	&	0.031716 	&	(28)	&	58995.28050 	&	0.00013 	&	P	&	7839	&	0.031798 	&	(28)
58962.92340 	&	0.00013 	&	P	&	7754	&	0.030886 	&	(28)	&	58995.47116 	&	0.00016 	&	S	&	7839.5	&	0.032127 	&	(28)
58963.11441 	&	0.00016 	&	S	&	7754.5	&	0.031565 	&	(28)	&	58996.99378 	&	0.00015 	&	S	&	7843.5	&	0.032103 	&	(28)
58963.30409 	&	0.00012 	&	P	&	7755	&	0.030915 	&	(28)	&	58997.18427 	&	0.00013 	&	P	&	7844	&	0.032262 	&	(28)
58963.49541 	&	0.00015 	&	S	&	7755.5	&	0.031904 	&	(28)	&	58997.37470 	&	0.00016 	&	S	&	7844.5	&	0.032362 	&	(28)
58963.68505 	&	0.00012 	&	P	&	7756	&	0.031213 	&	(28)	&	58997.56485 	&	0.00013 	&	P	&	7845	&	0.032181 	&	(28)
58963.87590 	&	0.00016 	&	S	&	7756.5	&	0.031733 	&	(28)	&	58997.75521 	&	0.00016 	&	S	&	7845.5	&	0.032210 	&	(28)
58964.06570 	&	0.00013 	&	P	&	7757	&	0.031202 	&	(28)	&	58997.94561 	&	0.00014 	&	P	&	7846	&	0.032280 	&	(28)
58964.25647 	&	0.00017 	&	S	&	7757.5	&	0.031642 	&	(28)	&	58998.13613 	&	0.00015 	&	S	&	7846.5	&	0.032469 	&	(28)
58964.44635 	&	0.00012 	&	P	&	7758	&	0.031191 	&	(28)	&	58998.32621 	&	0.00012 	&	P	&	7847	&	0.032219 	&	(28)
58964.63702 	&	0.00016 	&	S	&	7758.5	&	0.031530 	&	(28)	&	58998.51669 	&	0.00016 	&	S	&	7847.5	&  	0.032368 	&	(28)
58964.82701 	&	0.00013 	&	P	&	7759	&	0.031190 	&	(28)	&	58998.70702 	&	0.00012 	&	P	&	7848	&	0.032367 	&	(28)
58965.01776 	&	0.00016 	&	S	&	7759.5	&	0.031609 	&	(28)	&	58998.89740 	&	0.00014 	&	S	&	7848.5	&	0.032417 	&	(28)
58965.20778 	&	0.00013 	&	P	&	7760	&	0.031299 	&	(28)	&	58999.08783 	&	0.00012 	&	P	&	7849	&	0.032516 	&	(28)
58965.39834 	&	0.00017 	&	S	&	7760.5	&	0.031528 	&	(28)	&	58999.27817 	&	0.00016 	&	S	&	7849.5	&	0.032526 	&	(28)
58965.58850 	&	0.00013 	&	P	&	7761	&	0.031358 	&	(28)	&	58999.46837 	&	0.00012 	&	P	&	7850	&	0.032395 	&	(28)
58965.77905 	&	0.00016 	&	S	&	7761.5	&	0.031577 	&	(28)	&	58999.65887 	&	0.00016 	&	S	&	7850.5	&	0.032565 	&	(28)
58965.96924 	&	0.00014 	&	P	&	7762	&	0.031436 	&	(28)	&	58999.84894 	&	0.00013 	&	P	&	7851	&	0.032304 	&	(28)
58966.15976 	&	0.00016 	&	S	&	7762.5	&	0.031626 	&	(28)	&	59000.03947 	&	0.00016 	&	S	&	7851.5	&	0.032503 	&	(28)
58966.35008 	&	0.00013 	&	P	&	7763	&	0.031615 	&	(28)	&	59000.22972 	&	0.00013 	&	P	&	7852	&	0.032423 	&	(28)
58966.54030 	&	0.00016 	&	S	&	7763.5	&	0.031505 	&	(28)	&	59000.42024 	&	0.00016 	&	S	&	7852.5	&	0.032612 	&	(28)
58966.73063 	&	0.00014 	&	P	&	7764	&	0.031504 	&	(28)	&	59000.61019 	&	0.00011 	&	P	&	7853	&	0.032232 	&	(28)
58966.92100 	&	0.00015 	&	S	&	7764.5	&	0.031544 	&	(28)	&	59000.80092 	&	0.00014 	&	S	&	7853.5	&	0.032631 	&	(28)
58967.11142 	&	0.00014 	&	P	&	7765	&	0.031633 	&	(28)	&	59000.99090 	&	0.00013 	&	P	&	7854	&	0.032281 	&	(28)
58967.30159 	&	0.00016 	&	S	&	7765.5	&	0.031472 	&	(28)	&	59001.18153 	&	0.00016 	&	S	&	7854.5	&	0.032580 	&	(28)
58967.49220 	&	0.00012 	&	P	&	7766	&	0.031752 	&	(28)	&	59001.37134 	&	0.00013 	&	P	&	7855	&	0.032059 	&	(28)
58967.68229 	&	0.00016 	&	S	&	7766.5	&	0.031511 	&	(28)	&	59001.56228 	&	0.00016 	&	S	&	7855.5	&	0.032669 	&	(28)
58967.87284 	&	0.00013 	&	P	&	7767	&	0.031731 	&	(28)	&	59001.75211 	&	0.00013 	&	P	&	7856	&	0.032168 	&	(28)
58968.06284 	&	0.00016 	&	S	&	7767.5	&	0.031400 	&	(28)	&	59001.94303 	&	0.00016 	&	S	&	7856.5	&	0.032758 	&	(28)
58968.25340 	&	0.00012 	&	P	&	7768	&	0.031630 	&	(28)	&	59002.13262 	&	0.00013 	&	P	&	7857	&	0.032017 	&	(28)
58969.39542 	&	0.00011 	&	P	&	7771	&	0.031666 	&	(28)	&	59002.32366 	&	0.00017 	&	S	&	7857.5	&	0.032727 	&	(28)
58969.58548 	&	0.00015 	&	S	&	7771.5	&	0.031396 	&	(28)	&	59002.51337 	&	0.00012 	&	P	&	7858	&	0.032106 	&	(28)
58969.77604 	&	0.00013 	&	P	&	7772	&	0.031625 	&	(28)	&	59002.70445 	&	0.00016 	&	S	&	7858.5	&	0.032855 	&	(28)
58969.96611 	&	0.00017 	&	S	&	7772.5	&	0.031364 	&	(28)	&	59002.89434 	&	0.00014 	&	P	&	7859	&	0.032415 	&	(28)
58970.15663 	&	0.00012 	&	P	&	7773	&	0.031554 	&	(28)	&	59003.08510 	&	0.00014 	&	S	&	7859.5	&	0.032844 	&	(28)
58970.34677 	&	0.00015 	&	S	&	7773.5	&	0.031363 	&	(28)	&	59003.27472 	&	0.00013 	&	P	&	7860	&	0.032134 	&	(28)
58970.53728 	&	0.00012 	&	P	&	7774	&	0.031543 	&	(28)	&	59003.46580 	&	0.00015 	&	S	&	7860.5	&	0.032883 	&	(28)
58970.72762 	&	0.00015 	&	S	&	7774.5	&	0.031552 	&	(28)	&	59003.65553 	&	0.00012 	&	P	&	7861	&	0.032283 	&	(28)
58970.91804 	&	0.00013 	&	P	&	7775	&	0.031642 	&	(28)	&	59003.84644 	&	0.00015 	&	S	&	7861.5	&	0.032862 	&	(28)
58971.10814 	&	0.00018 	&	S	&	7775.5	&	0.031421 	&	(28)	&	59004.03617 	&	0.00014 	&	P	&	7862	&	0.032261 	&	(28)
58971.29869 	&	0.00014 	&	P	&	7776	&	0.031640 	&	(28)	&	59004.22711 	&	0.00016 	&	S	&	7862.5	&	0.032871 	&	(28)
58971.48906 	&	0.00017 	&	S	&	7776.5	&	0.031680 	&	(28)	&	59004.41693 	&	0.00012 	&	P	&	7863	&	0.032360 	&	(28)
58971.67922 	&	0.00014 	&	P	&	7777	&	0.031509 	&	(28)	&	59004.60793 	&	0.00016 	&	S	&	7863.5	&	0.033030 	&	(28)
58971.86964 	&	0.00017 	&	S	&	7777.5	&	0.031599 	&	(28)	&	59004.79743 	&	0.00012 	&	P	&	7864	&	0.032199 	&	(28)
58972.05996 	&	0.00012 	&	P	&	7778	&	0.031588 	&	(28)	&	59004.98842 	&	0.00016 	&	S	&	7864.5	&	0.032859 	&	(28)
58972.25045 	&	0.00015 	&	S	&	7778.5	&	0.031747 	&	(28)	&	59005.17816 	&	0.00013 	&	P	&	7865	&	0.032268 	&	(28)
58972.44052 	&	0.00012 	&	P	&	7779	&	0.031487 	&	(28)	&	59005.36918 	&	0.00017 	&	S	&	7865.5	&	0.032957 	&	(28)
58972.63096 	&	0.00016 	&	S	&	7779.5	&	0.031596 	&	(28)	&	59005.55893 	&	0.00012 	&	P	&	7866	&	0.032377 	&	(28)
58972.82123 	&	0.00013 	&	P	&	7780	&	0.031536 	&	(28)	&	59005.74976 	&	0.00015 	&	S	&	7866.5	&	0.032876 	&	(28)
58973.01177 	&	0.00016 	&	S	&	7780.5	&	0.031745 	&	(28)	&	59005.93955 	&	0.00012 	&	P	&	7867	&	0.032336 	&	(28)
58973.20172 	&	0.00012 	&	P	&	7781	&	0.031365 	&	(28)	&	59006.13056 	&	0.00015 	&	S	&	7867.5	&	0.033015 	&	(28)
58973.39241 	&	0.00016 	&	S	&	7781.5	&	0.031724 	&	(28)	&	59006.32020 	&	0.00014 	&	P	&	7868	&	0.032324 	&	(28)
58973.58258 	&	0.00013 	&	P	&	7782	&	0.031563 	&	(28)	&	59006.51109 	&	0.00016 	&	S	&	7868.5	&	0.032884 	&	(28)
58973.77308 	&	0.00014 	&	S	&	7782.5	&	0.031733 	&	(28)	&	59006.70079 	&	0.00013 	&	P	&	7869	&	0.032253 	&	(28)
58973.96331 	&	0.00012 	&	P	&	7783	&	0.031632 	&	(28)	&	59006.89184 	&	0.00016 	&	S	&	7869.5	&	0.032973 	&	(28)
58974.15371 	&	0.00016 	&	S	&	7783.5	&	0.031702 	&	(28)	&	59007.08139 	&	0.00012 	&	P	&	7870	&	0.032192 	&	(28)
58974.34388 	&	0.00012 	&	P	&	7784	&	0.031541 	&	(28)	&	59007.27236 	&	0.00015 	&	S	&	7870.5	&	0.032832 	&	(28)
58974.53444 	&	0.00016 	&	S	&	7784.5	&	0.031771 	&	(28)	&	59007.46212 	&	0.00012 	&	P	&	7871	&	0.032261 	&	(28)
58974.72458 	&	0.00013 	&	P	&	7785	&	0.031580 	&	(28)	&	59007.65306 	&	0.00015 	&	S	&	7871.5	&	0.032870 	&	(28)
58974.91529 	&	0.00016 	&	S	&	7785.5	&	0.031959 	&	(28)	&	59007.84273 	&	0.00012 	&	P	&	7872	&	0.032210 	&	(28)
58975.10517 	&	0.00013 	&	P	&	7786	&	0.031509 	&	(28)	&	59008.03377 	&	0.00016 	&	S	&	7872.5	&	0.032919 	&	(28)
58975.29592 	&	0.00015 	&	S	&	7786.5	&	0.031928 	&	(28)	&	59008.22330 	&	0.00012 	&	P	&	7873	&	0.032119 	&	(28)
58975.48577 	&	0.00013 	&	P	&	7787	&	0.031448 	&	(28)	&	59008.41456 	&	0.00016 	&	S	&	7873.5	&	0.033048 	&	(28)
58975.67653 	&	0.00015 	&	S	&	7787.5	&	0.031877 	&	(28)	&	59008.60404 	&	0.00012 	&	P	&	7874	&	0.032198 	&	(28)
58975.86639 	&	0.00013 	&	P	&	7788	&	0.031407 	&	(28)	&	59008.79506 	&	0.00015 	&	S	&	7874.5	&	0.032887 	&	(28)
58976.05722 	&	0.00015 	&	S	&	7788.5	&	0.031906 	&	(28)	&	59008.98460 	&	0.00012 	&	P	&	7875	&	0.032096 	&	(28)
58976.24706 	&	0.00012 	&	P	&	7789	&	0.031415 	&	(28)	&	59009.17573 	&	0.00016 	&	S	&	7875.5	&	0.032896 	&	(28)
58976.43803 	&	0.00016 	&	S	&	7789.5	&	0.032055 	&	(28)	&	59291.24980 	&		&	S	&	8616.5	&	0.037057 	&	(29)
58976.62767 	&	0.00013 	&	P	&	7790	&	0.031364 	&	(28)	&	59328.36610 	&	0.00230 	&	P	&	8714	&	0.038896 	&	(30)
58976.81866 	&	0.00015 	&	S	&	7790.5	&	0.032024 	&	(28)	&	59328.55650 	&	0.00100 	&	S	&	8714.5	&	0.038965 	&	(30)
58977.00819 	&	0.00013 	&	P	&	7791	&	0.031223 	&	(28)	&	59740.24578 	&	0.00072 	&	P	&	9796	&	0.043228 	&	(31)
58977.19936 	&	0.00015 	&	S	&	7791.5	&	0.032063 	&	(28)	&	59740.43834 	&	0.00049 	&	S	&	9796.5	&	0.045449 	&	(31)
58977.38908 	&	0.00012 	&	P	&	7792	&	0.031452 	&	(28)	&	59744.24177 	&	0.00039 	&	S	&	9806.5	&	0.042268 	&	(31)
58977.57980 	&	0.00016 	&	S	&	7792.5	&	0.031841 	&	(28)	&	59744.43389 	&	0.00037 	&	P	&	9807	&	0.044063 	&	(31)
